time,TATM,E,NC,nonUV,ES,YGROSS,S,invNCfrac,MIU,CPC,YNET,K,scc,gama3,ratioKNC,g4,theta1,share1,climsen,prtp,share2,theta2,YGreen,elasmu,damageNC
2010,0.83,18.051072139146626,34.883720930232556,5.906244232186183,42.94752999324122,62.643043114968066,0.24779841380649012,0.0,0.46096563379833777,6.837003288186344,62.583158249582446,135.0,86.61849925971293,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.0,1.0,62.152791675436646,1.45,0.07902286641291013
2015,0.920902791622995,18.288826097765522,32.69277271369667,5.71775941376486,48.6290815625209,73.94444634377817,0.24748487435470087,0.0,0.5040707207695498,7.609517258053763,73.85742592150683,156.72296595409213,99.01032847653893,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.0,1.0,73.2522727357296,1.45,0.07902286641291013
2020,1.0109292991344554,18.211603750037945,30.249809173523484,5.4999826521111395,53.61331382666311,86.70453285194172,0.2461789898437243,0.0,0.5510737444345375,8.487395196590908,86.58157071112218,183.18749173722347,113.06467797354749,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.0,1.0,85.7366598216062,1.45,0.07902286641291013
2025,1.0997487165299205,17.766632032669065,27.6109231460051,5.254609704440958,58.469027245365425,100.87150550231642,0.2451806567652622,0.0,0.6003757011277913,9.449899954306746,100.70221075785742,213.7032035332033,128.56455911407272,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.0,1.0,99.54278977622218,1.45,0.07902286641291013
2030,1.1867993936258987,16.861952997287226,24.845536911657017,4.984529758327962,63.10308213012342,116.4363582581075,0.24439409549959587,0.0,0.652318299770189,10.494724241976325,116.20877972641536,248.21943752222415,145.47458043681058,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.0,1.0,114.64175199002989,1.45,0.07902286641291013
2035,1.2712708288786716,15.367431967861844,22.031826228039773,4.693807221013638,67.42644319639241,133.3813198521761,0.24369338696189827,0.0,0.7081158231166784,11.619718862558106,133.0821903696479,286.6599320829599,163.75843674147134,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.0,1.0,130.98514209341928,1.45,0.07902286641291013
2040,1.3520559157424266,13.409492788974307,19.25087955440001,4.387582427077582,71.35882739331788,151.67478704197984,0.24341768833295477,0.0,0.7641660861465605,12.818448253394216,151.2900263074701,328.8708878878213,183.28673723713095,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.0,1.0,148.54916666148054,1.45,0.07902286641291013
2045,1.4279380397413357,10.780562172339572,16.579461133972302,4.071788444157224,74.83471753027793,171.32200896770544,0.2433114513516233,0.0,0.8237722045048691,14.09166959153707,170.8372566092858,374.9924443515018,204.0582755300571,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.0,1.0,167.28869144848463,1.45,0.07902286641291013
2050,1.4974313142268814,7.589357255903904,14.08389355635531,3.752851390123956,77.80636235248839,192.2967639664242,0.24271252033199978,0.0,0.884491516588026,15.452222907809674,191.69841596685194,424.94556002034176,226.28623782317737,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.0,1.0,187.18265406368485,1.45,0.07902286641291013
2055,1.5589250238756496,3.7529989115281346,11.814899897850177,3.4372808872494223,80.2474646800991,214.49824546236505,0.2416408259991106,0.0,0.9474418353841074,16.89366890396593,213.77487254199215,478.0839723875606,249.7550204089452,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.0,1.0,208.10034851240337,1.45,0.07902286641291013
