time,TATM,E,NC,nonUV,ES,YGROSS,S,invNCfrac,MIU,CPC,YNET,K,scc,gama3,ratioKNC,g4,theta1,share1,climsen,prtp,share2,theta2,YGreen,elasmu,damageNC
2010,0.83,22.35628112163292,34.883720930232556,5.906244232186183,42.94752999324122,62.643043114968066,0.24583482251391744,0.0,0.3204165391098307,6.885172521544684,62.583158249582446,135.0,45.128213554631195,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,62.427716245479104,1.45,0.07923818399245847
2015,0.924921820159981,23.426510999878012,32.66918436365256,5.715696314855484,48.62819105656285,73.90723599101386,0.24466180502728452,0.0,0.35436897862735944,7.673696432826759,73.8194985311197,156.45068271578282,52.59102191022191,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,73.59399852767098,1.45,0.07923818399245847
2020,1.0227352598686223,24.291903202509143,30.168734959004155,5.492607300636388,53.59971494772564,86.59729587143136,0.24317176402328108,0.0,0.39186478318752777,8.562013565013839,86.4716006305568,182.4107662316191,61.24597371139993,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,86.1467619941257,1.45,0.07923818399245847
2025,1.1229580969559323,24.850065707172938,27.42806473567007,5.237180991303439,58.42001553397413,100.69762457006478,0.24171132250449237,0.0,0.4326724010412328,9.542552175004895,100.52141301919532,212.45403374713524,71.07584400582049,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,100.0588691578416,1.45,0.07923818399245847
2030,1.2249186683336621,25.082199253892295,24.513616126850536,4.951122713774174,62.976887431601234,116.17763312383357,0.2404174253034002,0.0,0.47507036446776557,10.609818515223994,115.93573913429233,246.37879034957518,82.07197985312037,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,115.29224283963705,1.45,0.07923818399245847
2035,1.3278058550896834,24.877397013816587,21.50878814824647,4.637756801326097,67.1580443862064,133.01326977704838,0.23941109898992485,0.0,0.5200304774417712,11.758813184657077,132.6878438323868,284.0755328183203,94.2236707785452,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,131.8068010815367,1.45,0.07923818399245847
2040,1.4306299315161202,24.14632171530496,18.507326404350092,4.3020142264234895,70.85662137150773,151.18805965734003,0.2386327148843671,0.0,0.5680903376829317,12.987955449285709,150.75866152278277,325.52381688027555,107.55543282948047,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,149.56760081838104,1.45,0.07923818399245847
2045,1.5322143252907714,22.84760121698382,15.604486794303945,3.950251484944211,73.9772657576883,170.67815358915067,0.23816766015458177,0.0,0.6189919764241503,14.293075842276972,170.12211488991656,370.6771718397917,122.05912408364449,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,168.534022950023,1.45,0.07923818399245847
2050,1.6312285337090484,21.011604209736756,12.887266020525601,3.589883844990754,76.44302901119568,191.46823171986074,0.23803997968679513,0.0,0.6715943497287272,15.67205856339967,190.76123989576038,419.57793271190644,137.74618079815605,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,188.68148000139723,1.45,0.07923818399245847
2055,1.7262667436822032,18.591767793550286,10.425497975966195,3.228853972536726,78.20119985118743,213.54733688773703,0.23780779474504002,0.0,0.7263121656814728,17.132431432463445,212.66426102629558,472.32525182108884,154.7484145790999,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,209.98016538999536,1.45,0.07923818399245847
2060,1.8158372581080973,15.55670519484337,8.265877942636603,2.875043989687219,79.2267104593242,236.8446356983039,0.23804839177772427,0.0,0.7833013764286901,18.655385417158232,235.76094475343382,528.5779383058026,172.84485377730317,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,232.3421829778656,1.45,0.07923818399245847
2065,1.8983575351009745,11.90527493627508,6.429810242084852,2.5357070497367893,79.52630971958978,261.3752178787643,0.23810695502866666,0.0,0.8424854804567083,20.25712756891169,260.06811890204966,588.6634017902268,192.24792759078994,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,255.7668851895063,1.45,0.07923818399245847
2070,1.972162729290022,7.551539046427324,4.915039201018652,2.216988768807513,79.13608509298659,287.0486489702372,0.237848246073423,0.0,0.904895463735825,21.934694860950838,285.4993720642762,652.0992232713106,212.88154841407592,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,280.1335357644995,1.45,0.07923818399245847
2075,2.035428312830524,2.491951633880187,3.7002999473246176,1.9236163721814747,78.12029576944762,313.7515433013365,0.23696858657811257,0.0,0.9705120784500756,23.690999741198574,311.9477551112523,718.2044210891399,234.67579321328424,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,305.31108929666505,1.45,0.07923818399245847
2080,2.0861552433101784,0.06800125629067058,2.7514632426659924,1.6587535207697353,76.56714097648518,341.3162318436245,0.2362404708471863,0.0,0.9999966528182628,25.556265997653252,339.25494592842705,785.8382150951994,257.8395322443071,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,331.9507666940896,1.45,0.07923818399245847
2085,2.1249544330569714,0.05469118444437136,2.0264208475651455,1.4235240944800145,74.58603747997493,369.8641488343724,0.23655337402586646,0.0,0.9999941003355574,27.507456587859675,367.546596628388,856.1306347410455,281.8658122513582,0.01053122614104478,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,360.1809265426292,1.45,0.07923818399245847
