time,TATM,E,NC,nonUV,ES,YGROSS,S,invNCfrac,MIU,CPC,YNET,K,scc,gama3,ratioKNC,g4,theta1,share1,climsen,prtp,share2,theta2,YGreen,elasmu,damageNC
2010,0.83,14.2215189313821,34.883720930232556,5.906244232186183,42.94752999324122,62.643043114968066,0.254027318169449,0.0,0.5859863328172119,6.735408926959149,62.583158249582446,135.0,104.72265334177546,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,61.74049983911948,1.45,0.0788765130206802
2015,0.9173038358729704,13.867676835898106,32.71257575618526,5.719490865119488,48.63367528139706,74.13668472510557,0.25335311234318386,0.0,0.6335671218675568,7.513787768527637,74.0501186701051,158.1350179828641,118.98742404856507,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,72.89922242846065,1.45,0.0788765130206802
2020,1.0004429802459547,13.17424221622726,30.318999584977995,5.506269116650402,53.63047669718188,87.05082986379901,0.251940956899071,0.0,0.6836145143879959,8.387372263769187,86.92992447886202,185.72337121694414,134.84209196282276,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,85.37887241843372,1.45,0.0788765130206802
2025,1.0793361270073054,12.080128539229934,27.767487037310108,5.2694864111514805,58.51776631413369,101.35167087526844,0.2509294075605094,0.0,0.7354801561346317,9.33916991401924,101.18782617949566,217.2199675502128,152.08187860653854,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,99.13137902708615,1.45,0.0788765130206802
2030,1.1536030177776164,10.492006405430503,25.129655782355243,5.012948811064725,63.218205226728934,117.03996648020404,0.24992017030817731,0.0,0.789854935703781,10.371692996723981,116.82382655264558,252.64110968834035,170.74956886023776,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,114.13248989777568,1.45,0.0788765130206802
2035,1.2225442319530957,8.445681948767653,22.479543076070197,4.741259650775329,67.66140445082812,134.08559624783,0.24907913940648854,0.0,0.8448673578009052,11.481136541098541,133.8074973066481,291.8021054246102,190.74232917282535,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,130.35119759300898,1.45,0.0788765130206802
2040,1.285241319739006,5.799572640513716,19.88826532050365,4.45962614133782,71.78875035455755,152.47319138031085,0.24805432536748886,0.0,0.9026682805542048,12.66973295313258,152.1236883905262,334.64504581753715,212.06987585446905,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,147.73110439161385,1.45,0.0788765130206802
2045,1.3404628949618285,2.5269536802708514,17.41943440811612,4.173659594183038,75.55595672488607,172.14899426248328,0.24590069072512205,0.0,0.9630367441267011,13.951882254753833,171.7197523418469,380.83125028307677,234.97197348565527,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,166.19790822669572,1.45,0.0788765130206802
2050,1.3866846317776587,0.26225936981095116,15.125353909390729,3.889132796574415,78.93578246275621,192.9548208906143,0.24407082675292333,0.0,0.9999381763609457,15.331293842412766,192.43994911591815,429.2179471297286,259.3676726305679,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,186.05147365824112,1.45,0.0788765130206802
2055,1.4236727335661783,0.20707385706017264,13.040555240548269,3.611170896059652,81.9262183742508,214.9725994501368,0.24329065870399508,0.0,0.999993846296852,16.828771689592994,214.36796694844233,480.4975905724667,285.55775008161055,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,207.7529012931336,1.45,0.0788765130206802
2060,1.4533968470403915,0.16569452607700186,11.178106335128001,3.343367514217963,84.54256069693173,238.42171203874616,0.24268423893258348,0.0,0.9999948482238039,18.427067250063544,237.7228325808017,536.4507232734986,313.0993852722534,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,230.90346763057937,1.45,0.0788765130206802
2065,1.4774937868699245,0.13256188378529074,9.536116134251696,3.0880602543104136,86.79968094018292,263.27073476105534,0.24215275670049569,0.0,0.9999960025887036,20.126354580192906,262.47321407251576,596.9519491298761,341.9288380052569,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,255.47235124898663,1.45,0.0788765130206802
2070,1.4973136231235287,0.10587971482704642,8.103174653915989,2.8466075693561956,88.71386920202809,289.47870140432923,0.24142015666412076,0.0,0.9999991012077364,21.93212398820288,288.5781049898827,661.8108270201977,372.0912529245599,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,281.4196073895798,1.45,0.0788765130206802
2075,1.5139631787323724,0.08480099904321468,6.86249328376866,2.619636097584674,90.3011580766386,316.96080212862165,0.24098274919050594,0.0,0.9999981327377786,23.825018470139877,315.9526542776594,730.4945037688951,403.0431768343148,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,308.6620299544875,1.45,0.0788765130206802
2080,1.5283442930860034,0.06800814155848237,5.79483727770287,2.407246825255539,91.57802568156949,345.73124482673285,0.24048671955927442,0.0,0.9999966153519836,25.81697738022944,344.6105972018463,803.2608222762683,434.94905774179267,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,337.211937312255,1.45,0.0788765130206802
2085,1.5411860606863739,0.05445460031243117,4.880472092992691,2.209179054081559,92.55904621873312,375.73029851276084,0.23992627514253903,0.0,0.9999968495079556,27.905116950841784,374.4918601169173,879.7924459481732,467.6171335695975,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,367.0093108286244,1.45,0.0788765130206802
