time,TATM,E,NC,nonUV,ES,YGROSS,S,invNCfrac,MIU,CPC,YNET,K,scc,gama3,ratioKNC,g4,theta1,share1,climsen,prtp,share2,theta2,YGreen,elasmu,damageNC
2010,0.83,26.915521265692018,34.883720930232556,5.906244232186183,42.3398070545766,63.54218784181226,0.25904014315935725,0.0,0.1832967907505616,6.869142785206672,63.42537164814887,135.0,16.480047719583574,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,63.39236590430466,1.45,0.07887651302079308
2015,0.9291473310789745,29.23347863049727,32.659747025940256,5.714870691970226,47.865691635611945,75.84880747279824,0.2562894814783099,0.0,0.20629874295112724,7.763895191179111,75.6740633303612,161.8219876953072,19.813445239207706,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,75.62318617434155,1.45,0.07887651302079308
2020,1.0354093511719678,31.478779926860046,30.113323929228955,5.487560836038991,52.633098357775964,89.61035227008803,0.25388411299781205,0.0,0.2310911894316316,8.74756689941679,89.35398235902127,192.46140137600042,23.647457059158366,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,89.2773638740673,1.45,0.07887651302079308
2025,1.1483140740731674,33.550782596591695,27.27635007018927,5.222676523602555,57.199830728462906,104.84837927682132,0.2516726549052979,0.0,0.25810763667971,9.8225735161998,104.47942903504723,226.97705458826692,28.014630793999757,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,104.36606062203565,1.45,0.07887651302079308
2030,1.267212822874168,35.42854924623524,24.20987544134813,4.920353182582337,61.43529702882106,121.57150405611107,0.2500329073356079,0.0,0.2860980409111532,10.983921332255381,121.0505305839049,265.3580987576006,32.91419471477785,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,120.88776043507251,1.45,0.07887651302079308
2035,1.391329149144766,37.004468579147506,21.0029570057797,4.5828983193804005,65.20307688468482,139.81692698567474,0.248424175599435,0.0,0.31619160991673395,12.241660545251726,139.09464925851438,307.82089474973384,38.40702592748111,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,138.86469466438638,1.45,0.07887651302079308
2040,1.5197301590221146,38.210670567331555,17.766419905843566,4.2150231204399775,68.36806574586666,159.57425125093556,0.24714664344960002,0.0,0.3483861351969846,13.590042465704217,158.59073739704058,354.25189660010756,44.48500193010113,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,158.27100922305547,1.45,0.07887651302079308
2045,1.6513455495562468,39.052842269669306,14.621464463316324,3.8238023567277013,70.8055260384554,180.8620301209079,0.24611045661158512,0.0,0.3817665651993424,15.031720270505149,179.54587213181193,404.76294584769175,51.174660372989244,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,179.11100043227452,1.45,0.07887651302079308
2050,1.7850419128020416,39.45255470492362,11.684737887538528,3.418294587588748,72.41111743874178,203.68977725362552,0.245309616259836,0.0,0.41699337447377005,16.5668286436299,201.95776575420447,459.4139223963281,58.49035353677042,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,201.3751963872044,1.45,0.07887651302079308
2055,1.9196142333163073,39.398251942415506,9.053349694808666,3.008878477906455,73.11040451959028,228.0666300676913,0.24468233261801128,0.0,0.453720877733934,18.19687240631662,225.8239136074185,518.2756877857789,66.4523150874322,0.0,3.87,0.5,1.0,0.0,3.2,0.015,0.0,1.0,225.05614771046285,1.45,0.07887651302079308
